CID0,TOID,CPPO,CPST,CPTX
64,511,6,5,-b carries their ridiculous -Y--game winning streak into -P.
65,511,6,5,Can the -J be beat in -P?
66,511,6,5,The invincible -J have won -Y straight games.
67,511,6,5,Everyone's lining up to take their best shot at -b.
68,511,6,5,Every team wants to be the one to end -b-" winning streak.
69,511,6,6,The -J will go undefeated in -P...mark it down.
70,511,6,6,-b looks to keep their amazing -Y--game win streak active in -P.
71,511,6,6,-J look to re--write record books by keeping -Y--game win streak alive.
72,511,6,6,Is there any team out there that can de--rail the mighty -J?
73,511,6,7,There aren't many givens but the -J going undefeated is one of them.
74,511,6,7,It's business as usual as -J look to extend -Y--game win streak.
75,511,6,7,No one can remember the last time -b actually lost a game.
76,511,6,18,-b-" championship hopes are destroyed on a day full of upsets.
77,511,6,18,-b-" humbling loss in the -g Championship headlines a day of upsets.
78,511,6,18,None of the upsets were bigger than -b-" -g--deciding loss to the -K.
79,511,6,18,The -J taking it on the chin headlines a weekend full of upsets.
80,511,6,19,-b-" -M---L overtime loss vs. -d is one of many upsets this weekend.
81,511,6,19,-N was the site for the biggest upset of the week as -b loses in OT to -d.
82,511,6,19,-J couldn't quite hold off -d in one of several upsets this weekend.
83,511,6,19,-# -b-" OT upset to -d tops a week full of surprises.
84,511,6,19,-d stuns -b in an overtime win.
85,511,6,20,-b-" -M---L loss to -d is the most unlikely of all this week's upsets.
86,511,6,20,The biggest upset this week has -J getting embarrassed in -N.
87,511,6,20,-b humbled in their lopsided loss to -d in -N.
88,511,6,20,A day full of upsets is highlighted by -b-" devastating loss to -d.
89,511,6,20,-# -b is one of many victims on a brutal weekend for top--ranked teams.
90,511,6,20,-b has no where to hide after the embarrassing loss to -d.
91,511,6,21,-b-" -M---L loss to -d is one of many upsets this weekend.
92,511,6,21,No other upset was bigger than the -J losing to -d -M---L.
93,511,6,21,In a day of upsets - -J swallow a bitter pill in -&.
94,511,6,21,-J are one of the many upset victims this week falling to -d.
95,511,6,21,No upset was more surprising than -b-" loss against -d.
96,511,6,21,-# -b is one of the many upset victims this week.
97,511,6,21,-b searches to find answers after lopsided loss.
98,511,6,22,-b manages to squeak by -d -L---M in a week of upsets.
99,511,6,22,-b narrowly escapes the upset bug with -; -L---M win against -d.
100,511,6,22,-b survives a scare on a nightmarish weekend for many ranked teams.
101,511,6,22,-J count their blessings after barely winning on an upset--filled day.
102,511,6,22,The -J are lucky to earn a big win on Upset Saturday.
103,511,6,23,-b-" -L---M win over -d headlines some great Top 25 match--ups.
104,511,6,23,-b-" win over the -K was impressive to say the least.
105,511,6,23,-J answer doubters on a weekend filled with great Top 25 action.
106,511,6,23,The -J silenced critics on "Put Up or Shut Up Weekend."
107,511,6,23,-b-" win over -d was just one of a handful of spectacular games.
108,511,6,23,-b-" -L---M victory over -d leads a weekend of great games.
109,511,6,23,-b headlines a great weekend in College football with win over -d.
110,511,6,24,The -# -J are surprised by -d on opening weekend.
111,511,6,24,-b is left with many unanswered questions after losing their opener.
112,511,6,24,-# -b is looking to regroup after their opening weekend loss to -d.
113,511,6,24,-b-" high hopes are dismantled on opening weekend.
114,511,6,24,This wasn't how the season was supposed to start for the -J.
115,511,6,25,Who would've predicted -# -b-" -g Championship loss to -d?
116,511,6,25,-J devastated following -M---L loss to -d in -g Championship.
117,511,6,25,-# -b-" loss to -d has thrown the entire Playoff Rankings for a loop.
118,511,6,25,The -# -J are surprised in the -g Championship.
119,511,6,25,-b is stunned in the -g Championship.
120,511,6,25,The -g Championship doesn't go the way the -J planned.
121,511,6,27,-# -b falls -M---L to -d in -R.
122,511,6,27,-J suffer humiliating upset at the hands of their bitter rival.
123,511,6,27,-b is knocked off by rival -d -M---L.
124,511,6,27,-# -b loses a stunner to -d in the annual -R.
125,511,6,27,The records never seem to matter when -b and -d get together.
126,511,6,27,-d shocks -b in their annual -R.
127,511,6,27,-# ranked -b loses a stunner to rival -d in -N.
128,511,6,27,The -J defense could not stop rival -d from pulling the upset.
129,511,6,27,-d gets bragging rights for the rest of the year with win over rival -b.
130,511,6,28,-d-" upset of -b raises some eyebrows around the league.
131,511,6,28,In a battle of -g opposites -d defeats -# -b -M---L.
132,511,6,28,-# -b loses a shocker to -g opponent -d -M---L.
133,511,6,28, -# -J are stunned -M---L by an overachieving -d team.
134,511,6,28,The -g race takes an unexpected turn as -b stumbles.
135,511,6,28,Will -b be able to jump back after suffering a major conference setback?
136,511,6,29,The -J are no longer unbeaten after suffering a setback against -d.
137,511,6,29,The -J fall for the first time in -P against -d -M---L.
138,511,6,29,The previously--undefeated -J falter against -d.
139,511,6,29,-d hands the -# -J their first setback of -P.
140,511,6,29,-b is still in shock after losing their first game of the season.
141,511,6,29,-d upends -b knocking them off the chart of the unbeaten.
142,511,6,30,-# -b loses an overtime stunner to -d.
143,511,6,30,The -# -J couldn't keep -d from pulling the upset.
144,511,6,30,The -# -J didn't have enough to hold off upset--minded -d.
145,511,6,30,Fans in -E are mourning -b-" OT loss to -d.
146,511,6,30,Gutsy -d hangs on to beat -# -b.
147,511,6,30,-b-" coaches and players are stunned as -d comes away with OT win.
148,511,6,31,-# -b comes up short in a defensive battle against -d.
149,511,6,31,The -# -J could not find an answer for the -d-" defense losing -M---L.
150,511,6,31,-b-" offense couldn't get it going as they are upset by -d.
151,511,6,31,-# -b falls in a defensive struggle against -d.
152,511,6,31,-d slows down the -J offense en route to -; -M---L upset.
153,511,6,31,-b-" offense struggles as -d pulls off the upset.
154,511,6,32,-# -b can't keep up with surprising -d.
155,511,6,32,The -# -J lose a barnburner to -d -M---L.
156,511,6,32,-# -b comes up short in -; -M---L shootout loss to -d.
157,511,6,32,-b is outshined by an unlikely -K offense -M---L.
158,511,6,32,-J can't find an answer to the -K offense.
159,511,6,32,-b is unable to solve the riddle which is -d-" offense.
160,511,6,33,-# -b is blanked by a stifling -K defense -M---L.
161,511,6,33,The -J sputter on offense and lose to -d.
162,511,6,33,The -# -J could not get going in an embarrassing -M---L loss to -d.
163,511,6,33,-d shuts out -# -b -M---L.
164,511,6,33,The -J offense was nowhere to be found against -d.
165,511,6,33,The -J offense puts up a pair of goose eggs against the -K defense.
166,511,6,36,-b is stunned in a nail--biter to -d.
167,511,6,36,-# -b couldn't keep the opportunistic -K from the upset.
168,511,6,36,-b is in shock after the devastating loss to -d.
169,511,6,36,The -# -J fail to put -d away.
170,511,6,36,The -K defeat -# -b in a historic upset for -d.
171,511,6,36,Upset minded -K pull out stunning victory over -b.
172,511,6,37,-b-" -# ranking is questioned after their loss to the -K.
173,511,6,37,-b couldn't live up to the hype and lose -M---L to -d.
174,511,6,37,The overconfident -J get a wake up call from -d.
175,511,6,37,-d hands -# -b a crushing -M---L defeat.
176,511,6,37,The -M---L loss proves -b didn't deserve to be ranked -#.
177,511,6,37,-J look for answers after humbling loss to -d.
178,511,6,37,-d surprises -# -b with a solid -M---L performance.
179,511,6,37,-d dominates all facets of the game in upset over -b.
180,511,6,38,-# -J were blown away in this weekend upset.
181,511,6,38,-b gets massacred against unranked -d -M---L.
182,511,6,38,-# -b suffers the unthinkable losing -M---L to -d.
183,511,6,38,The -# -J are exposed in -M---L performance against -d.
184,511,6,38,-b-" -M---L loss to unranked -d is a shocker.
185,511,6,38,The -J are devastated after -; -M---L loss to -d.
186,511,6,38,-b suffers humiliating defeat by the hands of -d.
187,511,6,39,-d sends -# -b home with a shocking -M---L defeat.
188,511,6,39,-b returns to -E after humiliating -M---L upset.
189,511,6,39,-# -b-" visit to -N was everything but a pleasant road trip.
190,511,6,39,The -# -J suffer a major setback losing at unranked -d -M---L.
191,511,6,39,A visit to -N knocks the -# -J back to earth.
192,511,6,39,The -d fans play a major role in the -K -M---L upset over -# -b.
193,511,6,39,The -K home field advantage was too much for the -J to overcome.
194,511,6,40,Home field couldn't help -# -b overcome a lackluster performance.
195,511,6,40,-# -b is embarrassed at home to -d -M---L.
196,511,6,40,Unranked -d shuts up the -E crowd in a huge upset of -# -b.
197,511,6,40,The -# -J are still shocked after a humiliating -M---L home loss.
198,511,6,40,The -J suffer a devastating -M---L loss on their own turf.
199,511,6,40,-E is silent following a shocking -M---L loss to -d.
200,511,6,40,-d quiets home crowd with shocking road win over -b.
201,511,6,41,-a pulls out a squeaker against -c in season opener.
202,511,6,41,The -J open the season in less--than--spectacular fashion.
203,511,6,41,-d almost upsets -# -b to open the season.
204,511,6,41,-# -b hangs on to win season opener -L---M against -d.
205,511,6,41,-J almost start the season out on a sour note.
206,511,6,41,The -J look very average in season--opening win over -d.
207,511,6,42,-# -b survives -; -L---M scare to -d in the -g Championship.
208,511,6,42,The -J edge out -d and take home the -P -g Championship.
209,511,6,42,-b comes out on Top in a close -g Championship battle.
210,511,6,42,-d gives -# -b their all in the biggest -g game of -P.
211,511,6,42,-b may have been overlooking the unranked -K in the -g Championship.
212,511,6,42,-b shows heart of champion with close win over -d.
213,511,6,87,-b squeezes by -d in annual -R.
214,511,6,87,-# -b slips past rival -d -L---M.
215,511,6,87,-d couldn't quite pull off the upset against rival -b.
216,511,6,87,The -# -J flirt with disaster against rival -d.
217,511,6,87,-b survives a major scare against the rival -K.
218,511,6,87,-a wins rivalry game over -c but by less than experts predicted.
219,511,6,88,The -# -J keep on winning despite an ugly performance against -d.
220,511,6,88,-# -b refuses to lose against a pesky -d team.
221,511,6,88,-d falls short on their upset bid of undefeated -b.
222,511,6,88,Undefeated -b got all they could handle from an unlikely -d team.
223,511,6,88,-b-" close encounter with disaster may give them an edge.
224,511,6,88,Undefeated -b survives scare from rival -d.
225,511,6,89,-b keeps -Y--game win streak alive with tough win.
226,511,6,89,The -# -J are lucky to escape with their -Y--game win streak.
227,511,6,89,The -J extend their win streak to -Y games.
228,511,6,89,-J increase their unbeaten streak to -Y with close win.
229,511,6,89,-J avoid the upset to keep their -Y--game winning streak in tact.
230,511,6,89,The winning streak continues for -b at the expense of rival -d.
231,511,6,90,The -J outlast upset--minded -d in overtime -L---M.
232,511,6,90,-# -b perseveres in overtime beating -d -L---M.
233,511,6,90,The -# -J almost suffer a disastrous overtime defeat to -d.
234,511,6,90,-d comes close to pulling an overtime upset of -# -b.
235,511,6,90,-b (-H) needs overtime to avoid the upset against -d.
236,511,6,90,-d takes -b to OT but are unable to pull off the upset.
237,511,6,91,The -J offense can't get on track in their win against lowly -d.
238,511,6,91,-# -b almost falls to -d in a tough defensive battle.
239,511,6,91,Scoring was at a premium as the -# -J hold off unranked -d.
240,511,6,91,-b-" defense answered the call as they keep -d from pulling the upset.
241,511,6,91,-b calls on their defense to get past the upset--minded -K.
242,511,6,91,-b-" defense halts upset bid from -d.
243,511,6,92,The -J (-H) outlast unranked -d.
244,511,6,92,-# -b prevails in -; -L---M shootout against -d.
245,511,6,92,The -# -J manage to hold off -d in a wild -L---M game.
246,511,6,92,-b flirts with disaster in a battle of offenses vs. -d.
247,511,6,92,A strong offense saves -b against upset--minded -d.
248,511,6,92,Both defenses take the day off as -b out scores -d in shootout.
249,511,6,96,-# -b (-H) is breathing a sigh of relief after leaving -N with a W.
250,511,6,96,-b dodges a bullet on the road winning -L---M against -d.
251,511,6,96,Unranked -d couldn't quite pull the upset against -# -b in -N.
252,511,6,96,The -J are lucky to escape -N with -; -L---M win.
253,511,6,96,The -J survive a scare in -N against -d.
254,511,6,96,-d-" plays inspired at home but are unable to upset heavily favored -b.
255,511,6,97,-b-" near upset in -E has the fans on edge.
256,511,6,97,-b (-H) can breathe easy following -; -L---M home victory vs. -d.
257,511,6,97,-E is in shock following a near disaster to -d.
258,511,6,97,-# -b withstands -d-" bid at an upset in -E.
259,511,6,97,The -J prevail at home against unranked -d -L---M.
260,511,6,97,The -J catch their breath after a near upset in -E.
261,511,6,98,-b wins season opener -L---M as the nation's two best teams go at it.
262,511,6,98,The -J open -P with a huge victory against -$ -d.
263,511,6,98,-b wins the season--opening battle of Top--ranked teams.
264,511,6,98,-P starts off with a bang as -# -b defeats -$ -d.
265,511,6,99,-b stays undefeated after trouncing -$ -d -L---M.
266,511,6,99,The -J show that they are in a class by themselves with a win vs. -$ -d.
267,511,6,99,-b-" victory over -d proves they are the best team in the country by far.
268,511,6,99,-b easily disposes -d and sits alone on Top of the rankings.
269,511,6,100,-b takes -$ -d behind the woodshed -L---M.
270,511,6,100,-b (-H) humiliates -$ -d in a battle of top two teams.
271,511,6,100,-b proves they're in a league of their own after -; -L---M win over -$ -d.
272,511,6,100,Top teams collide as -b comes out as undisputed #1.
273,511,6,101,-b takes out -$ -d in a battle of -g-"
274,511,6,101,-E is celebrating after a sweet victory over -g foe -d.
275,511,6,101,-b proves it on the field with a W over -g rival -d.
276,511,6,101,There's no guessing who's #1 after -b beats -d.
277,511,6,103,-b comes away with -; -L---M victory in a battle of Top--ranked rivals.
278,511,6,103,-b shuts up doubters after beating rivals -d -L---M.
279,511,6,103,The -J are on top of the world after beating rival -$ -d.
280,511,6,103,Rivalry game gives -b a chance to shine in front of a national audience.
281,511,6,104,The -J keep their unblemished record intact in a battle of top teams.
282,511,6,104,The -J (-H) keep on winning regardless of the competition.
283,511,6,104,-b wins a battle of Top--ranked teams to remain a perfect -H.
284,511,6,104,-b stays undefeated at the expense of -$ -d.
285,511,6,105,-J extend their win streak to -Y games in a battle of Top teams.
286,511,6,105,-b ups its winning streak to -Y games with a win against -$ -d.
287,511,6,105,-b keeps its win streak alive beating a talented -d team.
288,511,6,105,-b-" -Y game win streak continues at the expense of -$ -d.
289,511,6,106,It took overtime for -b to knock off -d in a match--up of top teams.
290,511,6,106,-b finishes off -d in a battle of 1 vs. 2.
291,511,6,106,-b holds off -$ -d -L---M in a OT battle for the ages.
292,511,6,106,-$ -d takes -# -b to OT but comes up short on the score board.
293,511,6,107,The nation's two best go at it with -b winning in a hard--fought battle.
294,511,6,107,-b-" defense rises to the occasion in their victory over -$ -d.
295,511,6,107,The -J out--muscle -d putting to rest any doubts about who's the best.
296,511,6,107,The defense outshines the offense as the -# -J beat up on the -$ -K.
297,511,6,108,-b comes away with a W as the nation's top two light up the scoreboard.
298,511,6,108,Defense was nowhere to be found as -# -b defeated -$ -d -L---M.
299,511,6,108,-$ -d can't keep up with -# -b.
300,511,6,108,Offenses steal the show as -# -b outscores -$ -d.
301,511,6,109,-b blanks -d -L---M in a battle of the nation's top teams.
302,511,6,109,-# -b shuts up -$ -d -L---M.
303,511,6,109,The -J secure their position as the best with -; -L---M victory over -d.
304,511,6,109,-d lays an egg on offense as -b lays sole claim to the #1 ranking.
305,511,6,112,-b inches past -d -L---M in a 1 vs. 2 battle.
306,511,6,112,The -J prevail against -$ -d -L---M.
307,511,6,112,-b edges -d -L---M in a colossal battle.
308,511,6,112,-b-" -f proves that big--time players show up for big--time games.
309,511,6,112,No room for error as -# -b slips by -$ -d.
310,511,6,113,-b wins in spectacular fashion against Top competition.
311,511,6,113,-# -b tops -$ -d in a decisive -L---M victory.
312,511,6,113,The -J ace test against -$ -d -L---M.
313,511,6,113,-# -b has no problems handling -$ -d -L---M.
314,511,6,114,-b secures their position atop the polls with -; -L---M blow out of -d.
315,511,6,114,There's no doubt who's the best after -b-" shellacking of -$ -d.
316,511,6,114,-b demoralizes -$ -d -L---M.
317,511,6,114,-$ -d gets absolutely crushed by -# -b.
318,511,6,116,-b returns from -N with -; -L---M victory over -$ -d.
319,511,6,116,-b goes to -N and knocks off -$ -d -L---M.
320,511,6,116,The -J (-H) take out -$ -d in -N -L---M.
321,511,6,116,The -J leave -N victorious in a battle of the nation's elite.
322,511,6,116,-b (-H) is king after their road win vs. -$ -d.
323,511,6,116,-b wins on the road in a battle of top teams.
324,511,6,117,The -J send -d home with -; -L---M win in a battle for the top spot.
325,511,6,117,-b defends its turf -L---M in a colossal battle with -$ -d.
326,511,6,117,-E is celebrating after the -J (-H) home win vs. -$ -d.
327,511,6,117,-b stops -$ -d -L---M in a battle of heavyweights.
328,511,6,117,-b sends off -d in a battle of 1 vs. 2.
329,511,6,117,The home field advantage comes up big for -# -b as they take down -$ -d.
330,511,6,118,The -J open -P with a huge victory against -$ -d.
331,511,6,118,-J knock off -$ -d -L---M in season opener.
332,511,6,118,-J start the -P season with a bang winning -L---M over -$ -d.
333,511,6,118,-f and -b wins season opener vs -$ -d.
334,511,6,118,-b opens its season on a positive note in a battle of two top 10 teams.
335,511,6,118,Season opener is a success for -b as they handle -$ -d.
336,511,0,119,-b notches a conference win behind the arm of -f.
337,511,3,119,Defense helps -b knock off conference opponent -d -L---M.
338,511,4,119,-f kicks -b-" way to a victory versus conference foe -d.
339,511,6,119,-E is celebrating after a sweet victory over -g foe -$ -d.
340,511,6,119,-f and -b knock off conference opponent -d -L---M.
341,511,6,119,-f and -J are confident after conference victory over -d.
342,511,6,119,-b (-H) walks away with a conference victory against -$ -d.
343,511,1,121,The -J offensive line leads the way for -f in a big rivalry win in -N.
344,511,6,121,The -J are on top of the world after beating rival -$ -d.
345,511,6,121,-b downs rival -d -L---M with the help of -f.
346,511,6,121,-b (-H) takes down their bitter rival -$ -d -L---M.
347,511,6,121,The -J triumph over -$ -d -L---M in annual -R.
348,511,6,121,No other game was bigger than -b-" -L---M win over rival -d.
349,511,6,121,-b takes care of business as they take down rival -d.
350,511,6,122,-b (-H) passes a major test against the -$ -K.
351,511,6,122,-b looks unbeatable after their -L---M win against -$ -d.
352,511,6,122,The -J (-H) keep on winning regardless of the competition.
353,511,6,122,-f and -b keeps on rolling with -; -L---M win vs. -$ -d.
354,511,6,122,The -J remain unblemished for the year with -; -L---M win vs. -d.
355,511,6,122,-b remains unbeaten with -; -L---M win vs -d.
356,511,6,123,The -J (-H) defeat -d and extend their win streak to -Y games.
357,511,6,123,-b ups its winning streak to -Y games with a win against -$ -d.
358,511,6,123,-b keeps its win streak alive beating a talented -d team.
359,511,6,123,-$ -d couldn't keep the -J from extending their win streak to -Y games.
360,511,6,123,-f and the -J continue to win despite the quality of competition.
361,511,6,123,It doesn't matter who -b plays as they continue to win.
362,511,6,124,It took overtime for -# -b to knock off -$ -d.
363,511,6,124,-# -b prevails -L---M in OT against a tough -K team.
364,511,6,124,-b (-H) holds off -$ ranked -d in overtime -L---M.
365,511,6,124,The -# -J finish off -$ -d in overtime -L---M.
366,511,6,124,-b (-H) edges the -$ ranked -K in OT -L---M.
367,511,6,124,OT spells doom for -$ -d as -b comes away with the victory.
368,511,3,125,-b-" -f has a huge day defensively against the -$ ranked -K.
369,511,6,125,-b-" defense rises to the occasion in their victory over -$ -d.
370,511,6,125,-b-" defense leads them to -; -L---M victory against -$ -d.
371,511,6,125,-b overcomes a poor offensive performance to win -L---M over -d.
372,511,6,125,-b (-H) prevails -L---M in a low--scoring affair with -$ -d.
373,511,6,125,-f and the -J win ugly against -$ -d -L---M.
374,511,6,125,-b-" defense comes up big in win over -$ -d.
375,511,6,126,Defense was nowhere to be found as -# -b defeated -$ -d -L---M.
376,511,6,126,-$ -d can't keep up with -# -b and loses -L---M.
377,511,6,126,-b tops -$ -d in a wild -L---M shootout in -N.
378,511,6,126,The -J (-H) outgun -$ -d -L---M.
379,511,6,126,-# -b walks away with a victory on a day where offense ruled.
380,511,6,126,Offenses show off fire power as -b out--shines -$ -d.
381,511,6,127,-b shuts out and shuts up -$ -d -L---M.
382,511,6,127,The -K fail to solve -b-" defense and lose -L---M.
383,511,6,127,-b (-H) holds -$ -d to a goose egg on the scoreboard.
384,511,6,127,-# -b played great defense against -d and win -L to nothing.
385,511,6,127,The -$ -K (-H) are scratching their heads after being blanked by -b.
386,511,6,127,-$ -K are unable to light up the score board in loss to -b.
387,511,6,130,-b sneaks past -$ -d -L---M.
388,511,6,130,-# -b slips by -$ ranked -d -L---M.
389,511,6,130,The -J (-H) steal one from -$ -d -L---M.
390,511,6,130,The -J prevail against -$ -d -L---M.
391,511,6,130,-b (-H) edges -d -L---M in a battle of top 10 powers.
392,511,6,130,-b gets solid win against -$ -d.
393,511,6,131,-# -b breezes by the -$ ranked -K -L---M.
394,511,6,131,-# -b tops -$ -d in a decisive -L---M victory.
395,511,6,131,The -J earn some respect with -; -L---M beating of -d.
396,511,6,131,-b easily handle -d in a battle of top 10 teams.
397,511,6,131,-b-" -L---M win over -d has the -K down for the count.
398,511,6,131,The -J look solid in win against -$ -d.
399,511,6,132,-b romps all over -$ -d -L---M.
400,511,6,132,Fans in -E are still celebrating following -; -L---M thrashing of -d.
401,511,6,132,-$ -d is embarrassed in -; -L---M debacle to -b.
402,511,6,132,-b (-H) takes out the whoopin' stick against -$ -d.
403,511,6,132,-b destroys -d and it doesn't look like anyone can come close to the -J.
404,511,6,132,-d did not hold up their end of the deal despite all the hype.
405,511,6,134,-b takes down -$ -d in -N.
406,511,6,134,The -J come back from -N with -; -L---M victory.
407,511,6,134,-b (-H) goes on the road and wins -L---M.
408,511,6,134,-# -b hands -d a crucial blow in their own backyard.
409,511,6,134,The -K fail to defend their home turf against -# -b.
410,511,6,134,-b leaves -N with big win over previously ranked -$ -d.
411,511,6,135,-b fans are still celebrating their -L---M victory over the -K in -E.
412,511,6,135,-E is buzzing following a big -L---M win over -$ -d.
413,511,6,135,-b-" -% is one of the most intimidating venue in football.
414,511,6,135,The home crowd lifts -b past -$ -d -L---M.
415,511,6,135,Just ask the -K how difficult it is to win on the road.
416,511,6,135,-b defense their home turf as they defeat -d -L---M.
417,511,6,136,-d ruins -b-" undefeated season in the -g Championship.
418,511,6,136,-b-" bid for a perfect season ends in the -g Championship.
419,511,6,136,-J slip up to -d and end their bid at an undefeated season.
420,511,6,137,-b remains unbeaten with -; -L---M win vs -d in the -g Championship.
421,511,6,137,-f and the undefeated -J are crowned kings of the -g.
422,511,6,137,-b (-H) wins the -g Championship over -d.
423,511,6,137,-b continues to win as they knock off -d in the -g Championship.
424,511,6,138,-# -b takes home the -g Championship in -; -L---M OT thriller.
425,511,6,138,-b defeats -d -L---M in overtime for the -g title.
426,511,6,138,-b (-H) is crowned -g Champs following in a cliff--hanger with -d.
427,511,6,138,-d takes -b to OT but come up short as the -J are crowned -g Champs.
428,511,6,139,-J win the -g in a defensive struggle with -d.
429,511,6,139,Defense leads -# -b to the -P -g title.
430,511,6,139,-b-" stingy "D" leads them to -; -L---M victory in the -g Championship.
431,511,6,139,Both team's defenses steal the show as -b comes away -g Champions.
432,511,6,140,-b holds on to beat -d -L---M taking home the -g Championship.
433,511,6,140,The -J weather the storm and take home the -g title.
434,511,6,140,-b outlasts the -K for the conference title.
435,511,6,140,Both team's offenses rule the day as -b takes home the -g Championship.
436,511,6,141,-b (-H) blanks -d -L---M to finish atop the -g race.
437,511,6,141,-b dominates on defense and snaps -g Championship.
438,511,6,141,The -J defense steps it up in the championship game.
439,511,6,141,-d is unable to find any offense as -b takes home the -g Championship.
440,511,6,144,-J are kings of the conference after a nail--biter against -d.
441,511,6,144,The -J are crowned -g Champs after -; -L---M hair--raiser vs. -d.
442,511,6,144,-b is named conference Champs after holding off -d -L---M.
443,511,6,144,-b defeats -d in one of the best Championship games ever seen.
444,511,6,145,There's little doubt that -b is the best team in the -g.
445,511,6,145,-b (-H) rolls over a good -d squad on their way to winning the -g.
446,511,6,145,-J roll to an impressive -L---M victory over -d in -g Championship.
447,511,6,145,-b wins the -g title in very impressive fashion over -d.
448,511,6,146,-b destroys the -K in the -g Championship.
449,511,6,146,-b (-H) lights up scoreboard and take home the -g title.
450,511,6,146,-J dominate -d en route to the -P -g Championship.
451,511,6,146,-J dominate -d from beginning to end to claim this years -g title.
452,511,6,147,-b fans stormed the streets of -N as the -J are crowned -g Champs.
453,511,6,147,The -J are crowned the undisputed -g Champs for -P.
454,511,6,147,-b takes the -g title with -; -L---M victory over -d.
455,511,6,147,-E parties as the -# -J claim the -g title.
456,511,6,147,-b clinches the -g title with -; -L---M win over -d.
457,511,6,147,-J take home the -P -g Championship after a win over -d.
458,511,6,147,-J secure -g Championship following -; -L---M victory over -d.
459,511,6,147,-b locks up the -P -g title with a victory over -d.
460,511,6,148,The -J open -P with a huge victory against -$ -d.
461,511,6,148,-J knock off -$ -d -L---M in season opener.
462,511,6,148,-J start the -P season with a bang winning -L---M over -$ -d.
463,511,6,148,-b wins season opener vs. -$ -d.
464,511,6,148,-b starts -P with -; -L---M vs -d in Top 25 action.
465,511,0,163,-b notches a conference win against -d behind the arm of -f.
