HID0,TOID,CPST,HTXT
197,511,13,Piling up the Wins
198,511,13,Keeping It Alive
199,511,13,Maintaining Perfection
200,511,13,Nothing Like Home Cookin'
201,3,14,Keep on Rollin'
202,34,14,Dome Sweet Dome
203,54,14,Dome Sweet Dome
204,88,14,Dome Sweet Dome
205,96,14,Dome Sweet Dome
206,198,14,Dome Sweet Dome
207,201,14,Dome Sweet Dome
208,207,14,Dome Sweet Dome
209,511,14,Unrelenting
210,511,14,Home Sweet Home
211,511,14,Astonishing!
212,511,14,Believe the Hype!
213,511,14,Home Field Advantage
214,511,15,Move Over Miami
215,511,15,Standard of Excellence
216,511,15,Broken Record
217,511,16,Mind--Boggling
218,511,16,Inconceivable!
219,511,16,No End in Sight
220,511,16,Pure Dominance
221,511,16,Will It Ever End?
222,9,17,Welcome to the Jungle
223,31,17,Home Wreckers
224,34,17,Dome Sweet Dome
225,34,17,No Place Like Dome
226,54,17,Dome Sweet Dome
227,54,17,No Place Like Dome
228,58,17,Seaing Red
229,74,17,Autzen Masters
230,88,17,Dome Sweet Dome
231,88,17,No Place Like Dome
232,93,17,12th Man Advantage
233,96,17,Dome Sweet Dome
234,96,17,No Place Like Dome
235,198,17,Dome Sweet Dome
236,198,17,No Place Like Dome
237,201,17,Dome Sweet Dome
238,201,17,No Place Like Dome
239,207,17,Dome Sweet Dome
240,207,17,No Place Like Dome
241,511,17,Hostile Environment
242,511,17,Unfriendly Confines
243,511,17,No Place Like Home
244,511,17,House of Pain
245,511,17,Home Sweet Home
246,511,18,Upset Weekend!
247,511,18,Upended!
248,511,18,Heads Up!
249,511,18,Stunned!
250,511,18,Upsets Galore!
251,511,18,What happened?
252,3,19,Tide Rolled!
253,9,19,War Eagles Burned
254,73,19,Rebels Fall Short
255,511,19,Is Anybody Safe?
256,511,19,Tough Loss
257,511,19,Still in Mourning
258,511,19,Day of Defeats
259,511,19,What a Thriller!
260,511,19,Upset Special!
261,31,20,Orange Crushed!
262,45,20,Tigers Ripped!
263,45,20,Stung!
264,47,20,Turtles Shellshocked
265,56,20,Tigers Ripped!
266,511,20,Are You Kidding?
267,511,20,Shocking!
268,511,20,Upset Saturday!
269,511,20,Still in Shock
270,511,20,-J Spank 'Em!
271,511,20,Ol' Fashion Whippin'
272,511,20,Silenced!
273,511,20,Over--Rated?
274,13,21,Eagles Grounded
275,30,21,Bulldogs Baffled
276,91,21,Rocky Toppled
277,94,21,Raiders Ripped
278,511,21,Upsets Galore!
279,511,21,Upset Weekend!
280,511,21,Upended!
281,511,21,Upset Saturday!
282,511,21,-# -J Fall
283,511,21,Unbelievable!
284,511,21,What a Weekend!
285,511,21,Mayhem at the Top!
286,511,21,WOW!!!
287,511,21,Top Teams Toppled
288,511,21,What Madness!
289,511,21,Wild Wild Week!
290,511,21,-J Downed!
291,511,21,Can Anyone Survive?
292,511,21,Nothing's Sacred
293,511,22,Whew!
294,511,22,Close Call!
295,511,22,Surviving a Scare
296,511,22,Holding Tight!
297,511,22,Narrow Escape!
298,511,22,Sweating It Out!
299,511,22,Almost Victimized!
300,511,22,What a Relief!
301,511,22,From the Jaws of Defeat
302,511,23,Showdown Saturday!
303,511,23,What a Weekend!
304,511,23,Ready to Rumble
305,511,23,Powers Collide!
306,511,23,Passing the Test
307,511,23,Weekend to remember
308,511,24,Sour Start!
309,511,24,Off On the Wrong Foot
310,511,24,Too Early to Panic
311,511,24,-J Need to Regroup
312,511,24,-b Stumbles
313,511,24,Not Part of the Plan
314,511,24,Stunned!
315,511,24,Opening Jitters?
316,511,25,D'oh!
317,511,25,Conference Chumps!
318,511,25,-J Fall Short
319,511,25,Shocker!
320,511,25,What Happened?
321,511,25,-J Stumble
322,511,25,Major Disaster!
323,511,25,Conference stunner!
324,511,26,Stunning Sequel
325,511,26,Better Luck Last Time
326,511,26,Revolting Rematch
327,511,26,Twice Shy
328,22,27,Stampeded!
329,511,27,Devastated!
330,511,27,Crushed!
331,511,27,-J Humbled
332,511,27,Dazed and Confused!
333,511,27,Shocked!
334,511,27,Oh No!
335,511,27,Whoa!
336,511,27,Not This Time!
337,511,27,Floored!
338,511,27,Believe It!
339,511,27,-M---L!
340,511,27,-b Upset!
341,511,27,Fallen!
342,511,27,Rival Woes
343,511,27,Devastated!
344,3,28,Tide Turned Back
345,9,28,War Eagles Grounded
346,21,28,Tigers De--Clawed
347,24,28,Bedeviled!
348,27,28,Gator--Bit!
349,30,28,Bulldogs Bit
350,37,28,Hawks Grounded
351,45,28,Tigers Torn Up
352,47,28,Shell Shocked!
353,52,28,Spartans Speared
354,56,28,Tigers Torn Up
355,70,28,Buckeyes Bucked!
534,511,62,Satisfaction!
711,511,100,Lowered the Boom
712,511,100,No Competition
713,511,100,Toasted!
714,511,101,No More Doubts
715,511,101,Moving On Up
716,511,101,Conference Cruisin'
717,511,101,-b Thumps -d
718,511,101,-J Thrive
719,511,102,Stepping Up
720,511,102,-J Take Game 2
721,511,102,Grudge Match
722,511,103,Sweet Victory!
723,511,103,-J Scorch Rival
724,511,103,Bragging Rights
725,511,103,Riding High!
726,511,103,No Love Lost
727,511,103,Rivals Clash
728,511,104,Battle Tested!
729,511,104,Staying Alive
730,511,104,A Clean Record
731,511,104,-H!
732,511,104,Unblemished
733,511,105,-J Refuse to lose
734,511,105,-Y & Counting
735,511,105,The Roll Continues
736,511,105,Growing Momentum
737,511,105,Rolling along
738,511,106,What a Game!
739,511,106,Classic Contest
740,511,106,Every Second Used!
741,511,106,-N Thriller!
742,511,106,Game of the Year?
743,511,106,Instant Classic!
744,511,106,One for the Ages
745,511,107,Defensive Struggle
746,511,107,War on the Grass
747,511,107,Hammer Meets the Anvil
748,511,107,The Immovable Objects
749,511,107,Trench Fight!
750,511,107,The D reigns!
751,511,108,Barnburner!
752,511,108,Shootout in -N!
753,511,108,-J Explode
754,511,108,Lighting Them Up!
755,511,108,O--FENCE!
756,511,108,Offensive Explosion!
757,511,109,Blanked!
758,511,109,Clamped Shut!
759,511,109,Locking Them Out
760,511,109,Not Even a Sniff
761,511,109,Total Domination
762,21,110,Death Rally
763,45,110,Death Rally
764,76,110,Happy Rally
765,511,110,Simply Amazing
766,511,110,One for the Ages!
767,511,110,-J Steal One
768,511,111,-J Pull It Out
769,511,111,Second Half Heroics
770,511,111,Comeback Kids
771,511,112,-J Steal One
772,511,112,Narrow Escape
773,511,112,Victory By an Inch!
774,511,112,Not Much Closer!
775,511,112,Playing with Fire
776,511,112,Closer Than We Thought
777,51,113,Hail to the Victors!
778,52,113,Victory for MSU!
779,88,113,Orange Crush!
780,511,113,A Statement Game
781,511,113,The Nation Notices
782,511,113,Coming Out Party
783,511,113,The -J Top -$!
784,511,113,All eyes on the -J
785,42,114,Kentucky Fight!
786,511,114,A Trip to the Woodshed
787,511,114,-J Spanks 'Em
788,511,114,-J Maul the -d
789,511,114,-b Stuns -d
790,511,114,-b Wins!
791,511,114,Stunned!
792,511,114,What might have been
793,511,115,Big Win. Tough Loss
794,511,115,Bittersweet Victory
795,511,115,Good News/Bad News
796,511,115,Costly Win
797,511,116,Taking Care of Business
798,511,116,-J Warn a Win
799,511,116,No Doubt About It
800,511,116,Top 2 Duke It Out
801,511,116,Top Dogs Rumble
802,511,116,Great Road Win!
803,51,117,Big Win in Big House
804,93,117,The 12th Man
805,511,117,Beating the Best
806,511,117,Home Cookin'!
807,511,117,-d Loses in -&
808,511,117,Battle of the Best
809,511,117,Tough Fight
810,511,117,Defending the Home Turf
811,511,118,Quick Out of the Gates
812,511,118,A Running Start
813,511,118,Huge First Win
814,511,118,Right From the Start
815,511,118,-J Roll
816,511,118,Starting Strong!
817,511,118,On the Right Track
818,511,118,Passing the Early Test
819,511,118,Great Beginning!
820,27,119,Gator Bait!
821,511,119,The Class of the -g
822,511,119,Conference Clash!
823,511,119,Battle for the -g
824,511,119,-g Fight
825,511,119,-J Win!
826,511,119,When it Counts!
827,511,119,Yes!
828,511,120,Big--Time Rematch
829,511,120,They Meet Again
830,511,120,-b/-d II
831,511,120,Twice as Nice
832,511,120,Round 2
833,511,120,Familiar Foe
834,511,120,-J Take Game 2
835,511,120,Grudge Match
836,511,121,Rivals Collide!
837,511,121,Love to Hate 'Em
838,511,121,Top 10 Showdown
839,511,121,Clutch!
840,511,121,-b Rolls Over -d
841,511,121,-b Takes Out -d
842,511,121,Start Bragging
843,102,122,Conquest!
844,107,122,Wahoo--wah!
845,112,122,Hail West Virginia!
846,511,122,Unstoppable!
847,511,122,Still Rolling
848,511,122,A Monster Win
849,511,122,Big Win!
850,511,122,-J Stun 'Em
851,511,122,Onward & Upward!
852,511,123,Can't Be Stopped!
853,511,123,On the Rise
854,511,123,-Y Games & Counting
855,511,123,Rolling the Dice
856,511,123,The Wins Keep Coming
857,511,123,On a Roll!
858,511,124,Extra Innings
859,511,124,Overtime Triumph
860,511,124,-b Uses Every Minute
861,511,124,-$ Goes Down in OT
862,511,124,-J Need OT
863,511,124,-d Takes 'Em to OT
864,511,124,-b Wins In OT
865,511,125,Defensive Struggle
866,511,125,Up Against a Wall
867,511,125,Top 10 Win
868,511,125,-J d gets It Done
869,511,125,D Saves the Day
870,511,125,The D was the Key!
871,511,126,Shootout at the Corral
872,511,126,-J Win a Wild One
873,511,126,-J Whip -K
874,511,126,Top 10 Slugfest
875,511,126,-$ Takes a Beating
876,511,126,Points Galore!
877,511,127,-L to Nothing!
878,511,127,Total Domination
879,511,127,Shutting Them Out!
880,511,127,Complete Control
881,511,127,-J Blank -K
882,511,127,Goose Egg!
883,511,127,Shut Out!
884,21,128,Death Rally
885,45,128,Death Rally
886,76,128,Happy Rally
887,511,128,Amazing Comeback!
888,511,128,Simply Amazing
889,511,128,-J Steal One
890,511,129,-J Pull It Out
891,511,129,Second Half Resurgence
892,511,129,Comeback Kids
893,511,129,Great Finale!
894,511,130,Down to the Wire!
895,511,130,Top 10 Tightrope
896,511,130,Narrow Scrape for -J
897,511,130,-J Pilfer a Win
898,511,130,Too Close for Comfort
899,511,130,No Margin for Error
900,51,131,Hail to the Victors!
901,52,131,Victory for MSU!
902,88,131,Orange Crush!
903,511,131,Knockout!
904,511,131,-J Improve to -H
905,511,131,-J Stomp on -$
906,511,131,Movin' On Up!
907,93,132,Fight Aggies Fight!
908,511,132,-L---M!
909,511,132,-J Stun -$
910,511,132,-J Smack Around -$
911,511,132,A Trip to the Woodshed
912,511,132,Ol' Style Kicking
913,511,132,Shocked!
914,511,132,K--O'd
915,511,133,Victory at a Price
916,511,133,"-J Win
917,511,133,Good News/Bad News
918,511,133,Injury Spoils Win
919,22,134,Stampede!
920,28,134,Seminole Uprising!
921,45,134,Geaux Tigers!
922,72,134,Go Pokes!
923,511,134,Marquee Match--Up
924,511,134,-J Invade -&
925,511,134,-J Steal One
926,511,134,Road Warriors
927,511,134,Big Road Win
928,511,134,Home Away From Home
929,38,135,Red and Gold!
930,40,135,Wildcat Victory!
931,511,135,Home Cookin'
932,511,135,Home Sweet Home
933,511,135,Doing It Right!
934,511,135,-K Get the Boot
935,511,135,Fans Fuel Big Win
936,511,136,Painful Loss
937,511,136,What Happened?
938,511,136,Painful First Loss
939,511,136,-J Fall
940,511,136,Flawed Season
941,511,136,Unbeaten No More
942,511,137,Still Unbeaten!
943,511,137,Perfect!
944,511,137,-g Champs!
945,511,137,Champs!
946,511,137,Magical Season
947,511,137,Champions!
948,39,138,Rock Chalk Jayhawk!
949,511,138,Overtime Thriller!
950,511,138,-g Champs!
951,511,138,Classic Showdown
952,511,138,-J in OT!
953,511,138,-J Take Title!
954,511,138,OT Magic!
955,511,139,Conference Supremacy!
956,511,139,Defense Guides the Way
957,511,139,-J Claim -g Title
958,511,139,-J Defense Wins Title
959,511,139,Trench Struggle
960,511,139,Riding the D!
961,511,140,-g Shootout!
962,511,140,-J Triumph!
963,511,140,-J Win In a Shootout
964,511,140,High Stakes Shootout
965,511,140,Battle Royal!
966,511,141,-g Champs!
967,511,141,Championship Shutout!
968,511,141,Definitive Win
969,511,141,No Doubt About It
970,511,141,-J Win With Style
971,511,141,Over--Drive!
972,21,142,Death Rally
973,45,142,Death Rally
974,76,142,Happy Rally
975,511,142,-J Steal -g Title
976,511,142,Season Saved
977,511,142,Clutch Rally!
978,511,142,Season Saving Rally!
979,511,143,Thriller!
980,511,143,Comeback in -N!
981,511,143,Clutch Comeback!
982,511,143,Cardiac Kids!
983,511,144,-g Thriller
984,511,144,Nail--Biter in -N!
985,511,144,One for the Ages!
986,511,144,-g Champs!
987,511,144,What a Game!
988,511,144,Well Deserved!
989,511,145,-J Dominate!
990,511,145,No Doubt About It
991,511,145,-J Cruise
992,511,145,Conference Champs!
993,511,145,No Contest in -N
994,5,146,Maroon and Gold!
995,6,146,Wooooo Pig Sooie!!
996,27,146,Chomped!
997,36,146,Hoosier Daddy?
998,42,146,On On UK!
999,55,146,Cowbells Clang!
1000,58,146,Husker Power!
1001,511,146,-L---M!
1002,511,146,Out to the Woodshed
1003,511,146,Undisputed Champs!
1004,511,146,-g Champs!
1005,511,146,-J Hammer -K
1006,511,146,No Doubt About It
1007,45,147,Bayou Bengals Roar!
1008,68,147,Victory March!
1009,511,147,Conference Champs
1010,511,147,Taking It All
1011,511,147,-J crowned Champs
1012,511,147,-b is Title Town
1013,511,147,-P -g Champs!
1014,511,147,Getting the Job Done
1015,511,147,Mission Accomplished
1016,511,147,Wrapping It Up
1017,511,147,Champs!
1018,511,148,A Strong Start
1019,511,148,Setting the Pace
1020,511,148,Early Success
1021,511,148,-J Win Opener
1022,511,148,In Mid--Season Form
1023,511,149,Familiar Foe
1024,511,149,-J Take Game 2
1025,511,149,Grudge Match
1026,511,149,Revenge Game
1027,511,149,Return Serve?
1028,511,150,Bitter Rivals Clash
1029,511,150,Big Win for -J
1030,511,150,Sweet!
1031,511,150,Collision Course
1032,511,150,Rivals Collide!
1033,511,150,Time to Gloat!
1034,3,151,Tide Keeps Rollin'!
1035,511,151,Not a Scratch!
1036,511,151,Staying Cool
1037,511,151,-J Still Undefeated
1038,511,151,Still No Tarnish
1039,511,151,-H!
1040,511,151,-J Remain Unbeaten
1041,511,152,Ouch!
1042,511,152,"-J Win
1043,511,152,The Cost of Victory
1044,511,153,Train Keeps Chugging
1045,511,153,The Streak Rolls On
1046,511,153,-J Add Another Win
1047,511,153,Another Big Win
1048,511,153,Can Anyone Stop Them?
1049,511,153,Conquering Heroes
1050,511,154,Needing Every Minute
1051,511,154,Push to Victory
1052,511,154,Huge OT Win!
1053,511,154,Clutch Win!
1054,511,154,-J Come up Big
1055,511,154,OT Tango
1056,511,154,Every Last Minute
1057,511,154,Using Every Second
1058,511,154,Fighting the Clock
1059,511,154,Whew!
1060,511,155,-J d Saves the day
1061,511,155,Defense Steps Up
1062,511,155,Trench Battle
1063,511,155,Defense Earns Win
1064,511,155,Defense Answers
1065,511,155,Defense Sets the Pace
1066,511,155,-J d Does the Job
1067,511,155,The Great Wall of -b
1068,511,156,Gunnin' It!
1069,511,156,Lighting Them Up!
1070,511,156,-& Shootout
1071,511,156,-J Rip It up
1072,511,156,Points By the Bushel
1073,511,156,Top 25 Shootout
1074,511,156,Patty Cake Defense
1075,511,156,Lighting It Up
1076,511,157,-J D Blanks 'Em
1077,511,157,Total Ball Control
1078,511,157,Top 25 Stuffing
1079,511,157,Not Even a Sniff
1080,511,157,Couldn't Buy A Point
1081,511,157,Big Goose Egg
1082,511,157,Top 25 Smacking
1083,511,157,Bageled 'Em
1084,511,157,Not Even a Sniff
1085,21,158,Death Rally
1086,45,158,Death Rally
1087,76,158,Happy Rally
1088,511,158,From the Jaws of Defeat
1089,511,158,Awesome!
1090,511,158,Incredible!
1091,511,159,-J Own 2nd Half
1092,511,159,Tale of Two Halves
1093,511,159,Remarkable Turnaround
1094,511,159,One to Remember
1095,511,160,A Narrow Scrape
1096,511,160,-J Survive a Scare
1097,511,160,Just Barely!
1098,511,160,Tight -g Battle
1099,511,160,-J Gain Important Win
1100,511,160,Close Fight
1101,511,160,Tight Battle
1102,511,160,Narrow Scrape
1103,511,160,Going All 12 Rounds
1104,51,161,Hail to the Victors!
1105,52,161,Victory for MSU!
1106,88,161,Orange Crush!
1107,511,161,Toying With 'Em!
1108,511,161,Convincing Win in -N
1109,511,161,Easy Does It
1110,511,161,A Slam Dunk
1111,511,161,Easy Does It
1112,511,161,The Easy Road
1113,511,161,Never In Doubt
1114,511,161,Convincing Win
1115,11,162,Bears Rip 'Em
1116,42,162,Kentucky Fight!
1117,511,162,A Woodshed Beating!
1118,511,162,Stunner in -N
1119,511,162,Spanked!
1120,511,162,Not Even Close
1121,511,162,-J Issue a beating
1122,511,162,Over Before It Began
1123,511,162,Ol' Fashioned Whipping
1124,511,162,Trip to the Woodshed
1125,511,162,Thumped!
1126,5,163,Maroon and Gold!
1127,11,163,Sic' Em Bears!
1128,21,163,Tigers Roar!
1129,22,163,Stampede!
1130,27,163,This is Gator Country!
1131,30,163,Sic 'Em
1132,31,163,Sting 'Em
1133,37,163,Hawks Fly High!
1134,38,163,Red and Gold!
1135,40,163,Wildcat Victory!
1136,42,163,On On UK!
1137,45,163,Geaux Bayou Bengals!
1138,49,163,It's a 'Cane Thing!
1139,51,163,Go Blue!
1140,52,163,Go Green!
1141,55,163,Cowbells Clang!
1142,56,163,Fight Tigers!
1143,67,163,Go Cats!
1144,68,163,Victory March!
1145,70,163,Go Bucks!
1146,71,163,Boomer Sooner!
1147,72,163,Go Pokes!
1148,74,163,Quack Attack!
1149,77,163,Hail to Pitt!
1150,78,163,Boil 'Er Up!
1151,88,163,Orange Crush!
1152,91,163,Go Big Orange!
1153,92,163,Hook 'Em Horns!
1154,93,163,Gig 'Em Aggies!
1155,94,163,Raiders Romp!
1156,99,163,Mighty Bruins!
1157,102,163,Fight On!
1158,107,163,Wahoo--wah!
1159,110,163,Bow Down!
1160,111,163,All Hail!
1161,112,163,Hail West Virginia!
1162,114,163,On Wisconsin!
1163,511,163,Big -g Win
1164,511,163,-b Shines!
1165,511,163,-g Showdown
1166,511,163,Time to Celebrate!
1167,511,163,-J Improve to -H
1168,511,163,Still High!
1169,511,163,Feelin' It!
1170,511,163,In the Zone...
1171,67,164,Go Cats!
1172,93,164,Gig 'Em Aggies!
1173,511,164,Bracket Shake--Up
1174,511,164,-J Improve to -H
1175,511,164,Road Warriors
1176,511,164,-J Steal One
1177,511,164,Big Win in -N
1178,511,164,-b Prevails!
1179,511,165,Home Cookin'
1180,511,165,Fans Fuel Victory
1181,511,165,No Love in -E
1182,511,165,Home Sweet Home
1183,511,165,No Hospitality
1184,511,165,Home Field Advantage
1185,511,166,-J Gain Big Win
1186,511,166,Any Win is a Good One
1187,511,166,Still Truckin'
1188,511,166,Loading Up on Wins
1189,511,166,Quality Win!
1190,511,167,And the Beat Goes On
1191,511,167,The Winning Continues
1192,511,167,-J Continue to Win
1193,511,167,The Winning Trend
1194,511,167,Off to a Good Start
1195,511,167,Same Old Story
1196,511,168,-L---M in Overtime!
1197,511,168,Heart Stopping Opener
1198,511,168,Clutch Win in Opener
1199,511,168,Big First Win
1200,511,168,-J Start Out Right
1201,511,168,OT Thriller!
1202,511,169,-J Win -L---M.
1203,511,169,Defense Shines
1204,511,169,Defense Ready to Play
1205,511,169,Defense Steps Up
1206,511,169,Defense Wins Opener
1207,511,169,-J d Comes up Big
1208,511,170,What a Start to -P!
1209,511,170,-P Starts With a Bang
1210,511,170,Offense Shines in Opener
1211,511,170,-f Fuels the -J
1212,511,170,-J Start With Power
1213,511,170,Both Defenses MIA
1214,76,171,We Are...Penn State!
1215,511,171,-J Record Shutout!
1216,511,171,The D Seems Ready
1217,511,171,Defense Comes to Play
1218,511,171,Shutout Start!
1219,511,171,-P Starts With a Shutout
1220,511,171,-J D Shuts 'Em Out!
1221,21,172,Death Rally
1222,45,172,Death Rally
1223,76,172,Happy Rally
1224,511,172,Season Opening Madness
1225,511,172,Starting With a Bang
1226,511,172,What a Start to -P!
1227,511,172,Rallying Cry!
1228,511,173,Comeback Special
1229,511,173,Saving the Opener
1230,511,173,Starting with a Comeback
1231,511,173,What a Beginning!
1232,511,173,-J Avoid Early Setback
1233,511,173,No Let Down in -E
1234,511,174,First Game Jitters
1235,511,174,Narrow Win in Opener
1236,511,174,They'll Take It!
1237,511,174,First Win a Close One
1238,511,174,Close Call
1239,511,174,-J Prevail!
1240,511,175,Erasing All Doubts
1241,511,175,Starting Right
1242,511,175,-P Starts With a Bang
1243,511,175,-J Dominate Opener
1244,511,175,Big First Win of -P
1245,511,175,Convincing Win!
1246,13,176,Golden Eagles Fly
1247,92,176,Texas Fight!
1248,511,176,Clicking on All Cylinders
1249,511,176,Season Starts With a Rout
1250,511,176,Ka--Boom!
1251,511,176,Mauling the Hapless
1252,511,176,Style Points!
1253,511,177,Bumpy Start
1254,511,177,Early Win. Early Loss
1255,511,177,Bittersweet Beginning
1256,511,177,-J Pay For Win
1257,63,178,Go Pack!
1258,511,178,-J Keep Winning
1259,511,178,Conference Clash!
1260,511,178,Still Unbeaten!
1261,511,178,Flawless!
1262,511,178,-H!
1263,511,179,Down to the Wire!
1264,511,179,Thrilling Rematch
1265,511,179,-J Win Sequel
1266,511,180,Defense Saves the Day
1267,511,180,Trench Fight!
1268,511,180,Defensive Struggle
1269,511,180,Defensive Battle
1270,511,181,The Defense Rests
1271,511,181,Scoring Frenzy!
1272,511,181,-J Win a Wild One
1273,511,181,Firework Display!
1274,511,182,No Doubt This Time!
1275,511,182,Pure Domination!
1276,511,182,-J Blank -K
1277,511,182,Blanked!
1278,21,183,Death Rally
1279,45,183,Death Rally
1280,76,183,Happy Rally
1281,511,183,Rematch Rally
1282,511,183,Good Show!
1283,511,184,Comeback!
1284,511,184,-J Survive Bad Start
1285,511,184,On the Comeback Trail!
1286,511,185,Squeeker!
1287,511,185,Close Call
1288,511,185,Narrow Escape
1289,511,185,By a Hair!
1290,511,186,Statement Game!
1291,511,186,Removing All Doubt
1292,511,186,-J Crush -K
1293,511,187,Spanked!
1294,511,187,What a Whipping!
1295,511,187,Pure Domination!
1296,511,188,Rematch in -N
1297,511,188,-J Win Rematch
