Team Name,UFID,TOID,TUCO
Connecticut,467,100,3
Cornell,99,123,1
Cornell,100,123,0
Dartmouth,111,124,1
Dartmouth,112,124,0
Delaware,113,177,1
Delaware,114,177,0
Delaware State,115,125,1
Delaware State,116,125,0
Delaware State,117,125,2
Delaware State,118,125,3
Duke,119,24,1
Duke,120,24,0
Duke,121,24,2
Duke,122,24,3
E Washington,133,197,1
E Washington,134,197,0
Eastern Illinois,764,219,1
Eastern Illinois,765,219,0
Eastern Kentucky,768,221,1
Eastern Kentucky,769,221,0
Eastern Michigan,129,26,1
Eastern Michigan,130,26,0
Eastern Michigan,131,26,2
Eastern Michigan,132,26,3
ECU,123,25,1
ECU,124,25,0
ECU,125,25,2
ECU,126,25,3
Elon,127,191,1
Elon,128,191,0
FIU,786,230,1
FIU,787,230,0
Florida,139,27,1
Florida,140,27,0
Florida,141,27,2
Florida,142,27,3
Florida,143,27,4
Florida,144,27,5
Florida A&M,135,126,1
Florida A&M,136,126,0
Florida A&M,137,126,2
Florida A&M,138,126,3
Florida Atlantic,784,229,1
Florida Atlantic,785,229,0
Florida State,145,28,1
Florida State,146,28,0
Florida State,147,28,2
Florida State,148,28,3
Florida State,795,28,4
Florida State,796,28,5
Fresno State,149,29,1
Fresno State,150,29,0
Fresno State,151,29,2
Fresno State,152,29,3
Furman,153,192,1
Furman,154,192,0
Georgia,159,30,1
Georgia,160,30,0
Georgia Southern,161,193,1
Georgia Southern,162,193,0
Georgia State,105,162,1
Georgia State,106,162,0
Georgia Tech,155,31,0
Georgia Tech,156,31,1
Georgia Tech,157,31,3
Georgia Tech,158,31,2
Grambling State,163,127,1
Grambling State,164,127,0
Grambling State,165,127,2
Grambling State,166,127,3
Hampton,167,128,1
Hampton,168,128,0
Harvard,169,129,1
Harvard,170,129,0
Hawaii,171,32,1
Hawaii,172,32,0
Hawaii,173,32,2
Hawaii,174,32,3
Houston,177,33,1
Houston,178,33,0
Houston,746,33,2
Houston,747,33,3
Howard,179,130,1
Howard,180,130,0
Howard,181,130,2
Howard,182,130,3
Howard,183,130,4
Idaho,186,34,1
Idaho,187,34,0
Idaho,189,34,2
Idaho State,184,198,1
Idaho State,185,198,0
Illinois,190,35,1
Illinois,191,35,0
Illinois,192,35,2
Illinois,193,35,3
Illinois State,194,205,1
Illinois State,195,205,0
Indiana,196,36,1
Indiana,197,36,0
Indiana State,198,206,1
Indiana State,199,206,0
Iowa,204,37,1
Iowa,205,37,0
Iowa,806,37,2
Iowa State,200,38,1
Iowa State,201,38,0
Iowa State,202,38,2
Iowa State,203,38,3
Jackson State,206,131,1
Jackson State,207,131,0
Jackson State,208,131,2
Jackson State,209,131,3
Jacksonville State,772,223,1
Jacksonville State,773,223,0
James Madison,210,179,1
James Madison,211,179,0
Kansas,212,39,1
Kansas,213,39,0
Kansas,214,39,2
Kansas,215,39,3
Kansas State,216,40,1
Kansas State,217,40,0
Kansas State,748,40,2
Kansas State,749,40,3
Kent State,222,41,1
Kent State,223,41,0
Kent State,224,41,2
Kent State,225,41,3
Kentucky,218,42,1
Kentucky,219,42,0
Kentucky,220,42,2
Kentucky,221,42,3
Liberty,109,161,1
Liberty,110,161,0
Louisiana Tech,226,43,1
Louisiana Tech,227,43,0
Louisiana Tech,228,43,2
Louisville,229,44,1
Louisville,230,44,0
Louisville,231,44,2
Louisville,232,44,3
LSU,233,45,0
LSU,234,45,1
Maine,235,180,1
Maine,236,180,0
Marshall,237,46,1
Marshall,238,46,0
Marshall,239,46,2
Marshall,240,46,3
Maryland,241,47,1
Maryland,242,47,0
Maryland,750,47,2
Maryland,751,47,3
McNeese State,752,213,1
McNeese State,753,213,0
Memphis,245,48,1
Memphis,246,48,0
Memphis,247,48,2
Memphis,248,48,3
Miami,249,49,1
Miami,250,49,0
Miami,251,49,2
Miami,252,49,3
Miami,253,49,4
Miami,254,49,5
Miami University,255,50,1
Miami University,256,50,0
Miami University,257,50,2
Miami University,258,50,3
Michigan,259,51,1
Michigan,260,51,0
Michigan State,261,52,1
Michigan State,262,52,0
Michigan State,807,52,2
Michigan State,808,52,3
Mid Tenn State,263,53,1
Mid Tenn State,264,53,0
Mid Tenn State,265,53,2
Mid Tenn State,266,53,3
Minnesota,267,54,1
Minnesota,268,54,0
Miss Valley State,277,132,1
Miss Valley State,278,132,0
Mississippi State,273,55,1
Mississippi State,274,55,0
Mississippi State,275,55,2
Mississippi State,276,55,3
Missouri,269,56,1
Missouri,270,56,0
Missouri,271,56,2
Missouri,272,56,3
Montana,279,199,1
Montana,280,199,0
Montana State,285,200,1
Montana State,286,200,0
Morgan State,281,133,1
Morgan State,282,133,0
Morgan State,283,133,2
Morgan State,284,133,3
Murray State,766,220,1
Murray State,767,220,0
Navy,289,57,1
Navy,290,57,0
Navy,291,57,2
Navy,292,57,3
NC A&T State,293,135,1
NC A&T State,294,135,0
NC A&T State,295,135,2
NC A&T State,296,135,3
NC State,301,63,1
NC State,302,63,0
NC State,303,63,2
NC State,304,63,3
Nebraska,305,58,1
Nebraska,306,58,0
Nevada,309,59,1
Nevada,310,59,0
Nevada,311,59,2
Nevada,312,59,3
New Hampshire,313,182,1
New Hampshire,314,182,0
New Mexico,315,60,1
New Mexico,316,60,0
New Mexico,317,60,2
New Mexico,318,60,3
New Mexico State,325,61,1
New Mexico State,326,61,0
New Mexico State,327,61,2
New Mexico State,328,61,3
Nicholls State,756,215,1
Nicholls State,757,215,0
Norfolk State,329,134,1
Norfolk State,330,134,0
North Carolina,297,62,1
North Carolina,298,62,0
North Carolina,299,62,2
North Carolina,300,62,3
North Texas,338,64,1
North Texas,339,64,0
Northern Arizona,287,201,1
Northern Arizona,288,201,0
Northern Illinois,319,66,1
Northern Illinois,320,66,0
Northern Illinois,321,66,2
Northern Illinois,322,66,3
Northwestern,333,67,1
Northwestern,334,67,0
Northwestern St,754,214,1
Northwestern St,755,214,0
Notre Dame,335,68,1
Notre Dame,336,68,0
Notre Dame,337,68,2
Ohio,342,69,1
Ohio,343,69,0
Ohio,797,69,2
Ohio,798,69,3
Ohio State,340,70,1
Ohio State,341,70,0
Oklahoma,344,71,1
Oklahoma,345,71,0
Oklahoma,743,71,2
Oklahoma State,346,72,1
Oklahoma State,347,72,0
Old Dominion,107,164,1
Old Dominion,108,164,0
Ole Miss,348,73,1
Ole Miss,349,73,0
Ole Miss,350,73,2
Oregon,351,74,1
Oregon,352,74,0
Oregon,353,74,2
Oregon,354,74,3
Oregon,355,74,4
Oregon,356,74,5
Oregon State,357,75,1
Oregon State,358,75,0
Oregon State,792,75,2
Penn,361,136,1
Penn,362,136,0
Penn State,359,76,1
Penn State,360,76,0
Pittsburgh,363,77,1
Pittsburgh,364,77,0
Pittsburgh,365,77,2
Pittsburgh,366,77,3
Portland State,367,202,1
Portland State,368,202,0
Prairie View A&M,369,137,1
Prairie View A&M,370,137,0
Princeton,371,138,1
Princeton,372,138,0
Purdue,373,78,1
Purdue,374,78,0
Purdue,375,78,2
Purdue,376,78,3
Rhode Island,377,184,1
Rhode Island,378,184,0
Rice,379,79,1
Rice,380,79,0
Rice,381,79,2
Rice,382,79,3
Richmond,383,185,1
Richmond,384,185,0
Rutgers,385,80,1
Rutgers,386,80,0
Rutgers,387,80,2
Rutgers,388,80,3
S Carolina State,399,139,1
S Carolina State,400,139,0
Sacramento State,389,203,1
Sacramento State,390,203,0
Sam Houston St,760,217,1
Sam Houston St,761,217,0
Samford,778,226,1
Samford,779,226,0
San Diego State,401,81,1
San Diego State,402,81,0
San Jose State,391,82,1
San Jose State,392,82,0
San Jose State,393,82,2
San Jose State,394,82,3
SE Missouri St,770,222,1
SE Missouri St,771,222,0
SMS,417,209,1
SMS,418,209,0
SMU,409,83,1
SMU,410,83,0
South Alabama,101,160,1
South Alabama,102,160,0
South Carolina,395,84,1
South Carolina,396,84,0
South Carolina,397,84,2
South Carolina,398,84,3
Southeastern,799,231,1
Southeastern,800,231,0
Southern,411,140,1
Southern,412,140,0
Southern Illinois,403,208,1
Southern Illinois,404,208,0
Southern Miss,405,85,1
Southern Miss,406,85,0
Southern Miss,407,85,2
Southern Miss,408,85,3
Stanford,413,87,1
Stanford,414,87,0
Stanford,415,87,2
Stanford,416,87,3
Stephen F. Austin,758,216,1
Stephen F. Austin,759,216,0
Syracuse,419,88,1
Syracuse,420,88,0
Syracuse,421,88,2
TCU,422,89,1
TCU,423,89,0
Temple,424,90,1
Temple,425,90,0
Temple,426,90,2
Temple,427,90,3
Tennessee,428,91,1
Tennessee,429,91,0
Tennessee,430,91,2
Tennessee,431,91,3
Tennessee,809,91,4
Tennessee,810,91,5
Tennessee State,776,225,1
Tennessee State,777,225,0
Tennessee Tech,774,224,1
Tennessee Tech,775,224,0
Tennessee-Martin,780,227,1
Tennessee-Martin,781,227,0
Texas,436,92,1
Texas,437,92,0
Texas A&M,432,93,1
Texas A&M,433,93,0
Texas A&M,434,93,2
Texas A&M,435,93,3
Texas Southern,438,141,1
Texas Southern,439,141,0
Texas State,762,218,1
Texas State,763,218,0
Texas Tech,452,94,1
Texas Tech,453,94,0
Texas Tech,454,94,2
Texas Tech,455,94,3
The Citadel,76,189,1
The Citadel,77,189,0
Toledo,440,95,1
Toledo,441,95,0
Towson,782,228,1
Towson,783,228,0
Troy,442,143,1
Troy,443,143,0
Tulane,444,96,1
Tulane,445,96,0
Tulsa,448,97,1
Tulsa,449,97,0
Tulsa,450,97,2
Tulsa,451,97,3
UAB,456,98,1
UAB,457,98,0
UAB,458,98,2
UAB,459,98,3
UCF,460,18,1
UCF,461,18,0
UCLA,462,99,1
UCLA,463,99,0
UL Lafayette,468,86,1
UL Lafayette,469,86,0
UL Monroe,470,65,1
UL Monroe,471,65,0
UL Monroe,472,65,2
UL Monroe,473,65,3
UMass,243,181,1
UMass,244,181,0
UNI,323,207,1
UNI,324,207,0
UNLV,474,101,1
UNLV,475,101,0
USC,476,102,1
USC,477,102,0
USF,478,144,1
USF,479,144,0
USF,480,144,2
USF,481,144,3
Utah,486,103,1
Utah,487,103,0
Utah State,482,104,1
Utah State,483,104,0
Utah State,484,104,2
Utah State,485,104,3
UTEP,490,105,1
UTEP,491,105,0
UTEP,793,105,2
UTEP,794,105,3
UTSA,103,163,1
UTSA,104,163,0
Vanderbilt,492,106,1
Vanderbilt,493,106,0
Vanderbilt,494,106,2
Vanderbilt,495,106,3
Vanderbilt,496,106,4
Vanderbilt,497,106,5
Villanova,501,186,1
Villanova,502,186,0
Virginia,503,107,1
Virginia,504,107,0
Virginia Tech,498,108,1
Virginia Tech,499,108,0
Virginia Tech,500,108,2
Wake Forest,505,109,1
Wake Forest,506,109,0
Wake Forest,507,109,2
Wake Forest,508,109,3
Washington,509,110,1
Washington,510,110,0
Washington,511,110,2
Washington,512,110,3
Washington State,513,111,1
Washington State,514,111,0
Weber State,517,204,1
Weber State,518,204,0
West Virginia,533,112,1
West Virginia,534,112,0
West Virginia,536,112,2
Western Carolina,515,195,1
Western Carolina,516,195,0
Western Illinois,519,210,1
Western Illinois,520,210,0
Western Kentucky,525,211,1
Western Kentucky,526,211,0
Western Michigan,527,113,1
Western Michigan,528,113,0
William and Mary,529,187,1
William and Mary,530,187,0
Wisconsin,521,114,1
Wisconsin,522,114,0
Wisconsin,523,114,2
Wisconsin,524,114,3
Wofford,531,196,1
Wofford,532,196,0
Wyoming,537,115,1
Wyoming,538,115,0
Wyoming,539,115,2
Wyoming,540,115,3
Yale,541,142,1
Yale,542,142,0
Youngstown State,543,212,1
Youngstown State,544,212,0
#N/A,545,303,1
#N/A,546,303,0
#N/A,547,358,1
#N/A,548,358,0
#N/A,549,359,1
#N/A,550,359,0
#N/A,551,397,1
#N/A,552,397,0
#N/A,553,374,1
#N/A,554,374,0
#N/A,555,331,1
#N/A,556,331,0
#N/A,557,332,1
#N/A,558,332,0
#N/A,559,333,1
#N/A,560,333,0
#N/A,561,396,1
#N/A,562,396,0
#N/A,563,325,1
#N/A,564,325,0
#N/A,565,394,1
#N/A,566,394,0
#N/A,569,387,1
#N/A,570,387,0
#N/A,571,391,1
#N/A,572,391,0
#N/A,573,364,1
#N/A,574,364,0
#N/A,575,389,1
#N/A,576,389,0
#N/A,577,361,1
#N/A,578,361,0
#N/A,579,370,1
#N/A,580,370,0
#N/A,581,404,1
#N/A,582,404,0
#N/A,583,407,1
#N/A,584,407,0
#N/A,585,379,1
#N/A,586,379,0
#N/A,587,412,1
#N/A,588,412,0
#N/A,589,400,1
#N/A,590,400,0
#N/A,591,375,1
#N/A,592,375,0
#N/A,593,406,1
#N/A,594,406,0
#N/A,595,409,1
#N/A,596,409,0
#N/A,597,413,1
#N/A,598,413,0
#N/A,599,383,1
#N/A,600,383,0
#N/A,601,360,1
#N/A,602,360,0
#N/A,603,371,1
#N/A,604,371,0
#N/A,605,343,0
#N/A,606,343,1
#N/A,607,335,1
#N/A,608,335,0
#N/A,609,337,1
#N/A,610,337,0
#N/A,611,339,1
#N/A,612,339,0
#N/A,613,347,1
#N/A,614,347,0
#N/A,615,405,1
#N/A,616,405,0
#N/A,617,380,1
#N/A,618,380,0
#N/A,619,414,1
#N/A,620,414,0
#N/A,621,385,1
#N/A,622,385,0
#N/A,623,418,1
#N/A,624,418,0
#N/A,625,363,1
#N/A,626,363,0
#N/A,627,395,1
#N/A,628,395,0
#N/A,629,398,1
#N/A,630,398,0
#N/A,631,367,1
#N/A,632,367,0
#N/A,633,369,1
#N/A,634,369,0
#N/A,635,372,1
#N/A,636,372,0
#N/A,637,328,1
#N/A,638,328,0
#N/A,639,330,1
#N/A,640,330,0
#N/A,641,392,1
#N/A,642,392,0
#N/A,643,411,1
#N/A,644,411,0
#N/A,645,351,1
#N/A,646,351,0
#N/A,647,352,1
#N/A,648,352,0
#N/A,649,393,1
#N/A,650,393,0
#N/A,651,376,1
#N/A,652,376,0
#N/A,653,378,1
#N/A,654,378,0
#N/A,655,381,1
#N/A,656,381,0
#N/A,657,300,1
#N/A,658,300,0
#N/A,659,326,1
#N/A,660,326,0
#N/A,661,334,1
#N/A,662,334,0
#N/A,663,336,1
#N/A,664,336,0
#N/A,665,338,1
#N/A,666,338,0
#N/A,667,348,1
#N/A,668,348,0
#N/A,669,353,1
#N/A,670,353,0
#N/A,671,357,1
#N/A,672,357,0
#N/A,673,368,1
#N/A,674,368,0
#N/A,675,399,1
#N/A,676,399,0
#N/A,677,401,1
#N/A,678,401,0
#N/A,679,403,1
#N/A,680,403,0
#N/A,681,386,1
#N/A,682,386,0
#N/A,683,302,1
#N/A,684,302,0
#N/A,685,349,1
#N/A,686,349,0
#N/A,687,410,1
#N/A,688,410,0
#N/A,689,415,1
#N/A,690,415,0
#N/A,691,384,1
#N/A,692,384,0
#N/A,693,341,1
#N/A,694,341,0
#N/A,695,342,1
#N/A,696,342,0
#N/A,697,354,1
#N/A,698,354,0
#N/A,699,355,1
#N/A,700,355,0
#N/A,701,365,1
#N/A,702,365,0
#N/A,703,362,1
#N/A,704,362,0
#N/A,705,366,1
#N/A,706,366,0
#N/A,707,402,1
#N/A,708,402,0
#N/A,709,377,1
#N/A,710,377,0
#N/A,711,356,1
#N/A,712,356,0
#N/A,713,388,1
#N/A,714,388,0
#N/A,715,390,1
#N/A,716,390,0
#N/A,717,344,1
#N/A,718,344,0
#N/A,719,416,1
#N/A,720,416,0
#N/A,721,329,1
#N/A,722,329,0
#N/A,723,382,1
#N/A,724,382,0
#N/A,725,346,1
#N/A,726,346,0
#N/A,727,350,1
#N/A,728,350,0
#N/A,729,340,1
#N/A,730,340,0
#N/A,731,327,1
#N/A,732,327,0
#N/A,733,345,1
#N/A,734,345,0
#N/A,735,304,1
#N/A,736,304,0
#N/A,737,408,1
#N/A,738,408,0
#N/A,739,417,1
#N/A,740,417,0
#N/A,741,373,1
#N/A,742,373,0
#N/A,788,430,1
#N/A,789,430,0
#N/A,790,429,1
#N/A,791,429,0
#N/A,801,443,1
#N/A,802,443,0
#N/A,1198,442,1
#N/A,1199,442,0
Air Force,1200,1,0
Air Force,1201,1,1
Air Force,1202,1,2
Air Force,1203,1,3
Air Force,1204,1,4
Air Force,1205,1,5
Air Force,1206,1,6
Air Force,1207,1,7
Air Force,1208,1,8
Air Force,1209,1,9
Air Force,1210,1,10
Air Force,1211,1,11
Air Force,1212,1,12
Air Force,1213,1,13
Air Force,1214,1,14
Air Force,1215,1,15
Air Force,1216,1,16
Air Force,1217,1,17
Air Force,1218,1,18
Air Force,1219,1,19
Akron,1220,2,0
Akron,1221,2,1
Akron,1222,2,2
Akron,1223,2,3
Akron,1224,2,4
Akron,1225,2,5
Akron,1226,2,6
Akron,1227,2,7
Akron,1228,2,8
Akron,1229,2,9
Akron,1230,2,10
Akron,1231,2,11
Akron,1232,2,12
Akron,1233,2,13
Akron,1234,2,14
Akron,1235,2,15
Akron,1236,2,16
Akron,1237,2,17
Akron,1238,2,18
Akron,1239,2,19
Alabama,1240,3,0
Alabama,1241,3,1
Alabama,1242,3,2
Alabama,1243,3,3
Alabama,1244,3,4
Alabama,1245,3,5
Alabama,1246,3,6
Alabama,1247,3,7
Alabama,1248,3,8
Alabama,1249,3,9
Alabama,1250,3,10
Alabama,1251,3,11
Alabama,1252,3,12
Alabama,1253,3,13
Alabama,1254,3,14
Alabama,1255,3,15
Alabama,1256,3,16
Alabama,1257,3,17
Alabama,1258,3,18
Alabama,1259,3,19
Alabama A&M,1260,116,0
Alabama A&M,1261,116,1
Alabama A&M,1262,116,2
Alabama A&M,1263,116,3
Alabama A&M,1264,116,4
Alabama A&M,1265,116,5
Alabama A&M,1266,116,6
Alabama A&M,1267,116,7
Alabama A&M,1268,116,8
Alabama A&M,1269,116,9
Alabama A&M,1270,116,10
Alabama A&M,1271,116,11
Alabama A&M,1272,116,12
Alabama A&M,1273,116,13
Alabama A&M,1274,116,14
Alabama A&M,1275,116,15
Alabama A&M,1276,116,16
Alabama A&M,1277,116,17
Alabama A&M,1278,116,18
Alabama A&M,1279,116,19
Alabama State,1280,117,0
Alabama State,1281,117,1
Alabama State,1282,117,2
Alabama State,1283,117,3
Alabama State,1284,117,4
Alabama State,1285,117,5
Alabama State,1286,117,6
Alabama State,1287,117,7
Alabama State,1288,117,8
Alabama State,1289,117,9
Alabama State,1290,117,10
Alabama State,1291,117,11
Alabama State,1292,117,12
Alabama State,1293,117,13
Alabama State,1294,117,14
Alabama State,1295,117,15
Alabama State,1296,117,16
Alabama State,1297,117,17
Alabama State,1298,117,18
Alabama State,1299,117,19
Alcorn State,1300,118,0
Alcorn State,1301,118,1
Alcorn State,1302,118,2
Alcorn State,1303,118,3
Alcorn State,1304,118,4
Alcorn State,1305,118,5
Alcorn State,1306,118,6
Alcorn State,1307,118,7
Alcorn State,1308,118,8
Alcorn State,1309,118,9
Alcorn State,1310,118,10
Alcorn State,1311,118,11
Alcorn State,1312,118,12
Alcorn State,1313,118,13
Alcorn State,1314,118,14
Alcorn State,1315,118,15
Alcorn State,1316,118,16
Alcorn State,1317,118,17
Alcorn State,1318,118,18
Alcorn State,1319,118,19
Appalachian State,1320,188,0
Appalachian State,1321,188,1
Appalachian State,1322,188,2
Appalachian State,1323,188,3
Appalachian State,1324,188,4
Appalachian State,1325,188,5
Appalachian State,1326,188,6
Appalachian State,1327,188,7
Appalachian State,1328,188,8
Appalachian State,1329,188,9
Appalachian State,1330,188,10
Appalachian State,1331,188,11
Appalachian State,1332,188,12
Appalachian State,1333,188,13
Appalachian State,1334,188,14
Appalachian State,1335,188,15
Appalachian State,1336,188,16
Appalachian State,1337,188,17
Appalachian State,1338,188,18
Appalachian State,1339,188,19
Arizona,1340,4,0
Arizona,1341,4,1
Arizona,1342,4,2
Arizona,1343,4,3
Arizona,1344,4,4
Arizona,1345,4,5
Arizona,1346,4,6
Arizona,1347,4,7
Arizona,1348,4,8
Arizona,1349,4,9
Arizona,1350,4,10
Arizona,1351,4,11
Arizona,1352,4,12
Arizona,1353,4,13
Arizona,1354,4,14
Arizona,1355,4,15
Arizona,1356,4,16
Arizona,1357,4,17
Arizona,1358,4,18
Arizona,1359,4,19
Arizona State,1360,5,0
Arizona State,1361,5,1
Arizona State,1362,5,2
Arizona State,1363,5,3
Arizona State,1364,5,4
Arizona State,1365,5,5
Arizona State,1366,5,6
Arizona State,1367,5,7
Arizona State,1368,5,8
Arizona State,1369,5,9
Arizona State,1370,5,10
Arizona State,1371,5,11
Arizona State,1372,5,12
Arizona State,1373,5,13
Arizona State,1374,5,14
Arizona State,1375,5,15
Arizona State,1376,5,16
Arizona State,1377,5,17
Arizona State,1378,5,18
Arizona State,1379,5,19
Ark - Pine Bluff,1380,119,0
Ark - Pine Bluff,1381,119,1
Ark - Pine Bluff,1382,119,2
Ark - Pine Bluff,1383,119,3
Ark - Pine Bluff,1384,119,4
Ark - Pine Bluff,1385,119,5
Ark - Pine Bluff,1386,119,6
Ark - Pine Bluff,1387,119,7
Ark - Pine Bluff,1388,119,8
Ark - Pine Bluff,1389,119,9
Ark - Pine Bluff,1390,119,10
Ark - Pine Bluff,1391,119,11
Ark - Pine Bluff,1392,119,12
Ark - Pine Bluff,1393,119,13
Ark - Pine Bluff,1394,119,14
Ark - Pine Bluff,1395,119,15
Ark - Pine Bluff,1396,119,16
Ark - Pine Bluff,1397,119,17
Ark - Pine Bluff,1398,119,18
Ark - Pine Bluff,1399,119,19
Arkansas,1400,6,0
Arkansas,1401,6,1
Arkansas,1402,6,2
Arkansas,1403,6,3
Arkansas,1404,6,4
Arkansas,1405,6,5
Arkansas,1406,6,6
Arkansas,1407,6,7
Arkansas,1408,6,8
Arkansas,1409,6,9
Arkansas,1410,6,10
Arkansas,1411,6,11
Arkansas,1412,6,12
Arkansas,1413,6,13
Arkansas,1414,6,14
Arkansas,1415,6,15
Arkansas,1416,6,16
Arkansas,1417,6,17
Arkansas,1418,6,18
Arkansas,1419,6,19
Arkansas State,1420,7,0
Arkansas State,1421,7,1
Arkansas State,1422,7,2
Arkansas State,1423,7,3
Arkansas State,1424,7,4
Arkansas State,1425,7,5
Arkansas State,1426,7,6
Arkansas State,1427,7,7
Arkansas State,1428,7,8
Arkansas State,1429,7,9
Arkansas State,1430,7,10
Arkansas State,1431,7,11
Arkansas State,1432,7,12
Arkansas State,1433,7,13
Arkansas State,1434,7,14
Arkansas State,1435,7,15
Arkansas State,1436,7,16
Arkansas State,1437,7,17
Arkansas State,1438,7,18
Arkansas State,1439,7,19
Army,1440,8,0
Army,1441,8,1
Army,1442,8,2
Army,1443,8,3
Army,1444,8,4
Army,1445,8,5
Army,1446,8,6
Army,1447,8,7
Army,1448,8,8
Army,1449,8,9
Army,1450,8,10
Army,1451,8,11
Army,1452,8,12
Army,1453,8,13
Army,1454,8,14
Army,1455,8,15
Army,1456,8,16
Army,1457,8,17
Army,1458,8,18
Army,1459,8,19
Auburn,1460,9,0
Auburn,1461,9,1
Auburn,1462,9,2
Auburn,1463,9,3
Auburn,1464,9,4
Auburn,1465,9,5
Auburn,1466,9,6
Auburn,1467,9,7
Auburn,1468,9,8
Auburn,1469,9,9
Auburn,1470,9,10
Auburn,1471,9,11
Auburn,1472,9,12
Auburn,1473,9,13
Auburn,1474,9,14
Auburn,1475,9,15
Auburn,1476,9,16
Auburn,1477,9,17
Auburn,1478,9,18
Auburn,1479,9,19
Ball State,1480,10,0
Ball State,1481,10,1
Ball State,1482,10,2
Ball State,1483,10,3
Ball State,1484,10,4
Ball State,1485,10,5
Ball State,1486,10,6
Ball State,1487,10,7
Ball State,1488,10,8
Ball State,1489,10,9
Ball State,1490,10,10
Ball State,1491,10,11
Ball State,1492,10,12
Ball State,1493,10,13
Ball State,1494,10,14
Ball State,1495,10,15
Ball State,1496,10,16
Ball State,1497,10,17
Ball State,1498,10,18
Ball State,1499,10,19
Baylor,1500,11,0
Baylor,1501,11,1
Baylor,1502,11,2
Baylor,1503,11,3
Baylor,1504,11,4
Baylor,1505,11,5
Baylor,1506,11,6
Baylor,1507,11,7
Baylor,1508,11,8
Baylor,1509,11,9
Baylor,1510,11,10
Baylor,1511,11,11
Baylor,1512,11,12
Baylor,1513,11,13
Baylor,1514,11,14
Baylor,1515,11,15
Baylor,1516,11,16
Baylor,1517,11,17
Baylor,1518,11,18
Baylor,1519,11,19
Bethune-Cookman,1520,120,0
Bethune-Cookman,1521,120,1
Bethune-Cookman,1522,120,2
Bethune-Cookman,1523,120,3
Bethune-Cookman,1524,120,4
Bethune-Cookman,1525,120,5
Bethune-Cookman,1526,120,6
Bethune-Cookman,1527,120,7
Bethune-Cookman,1528,120,8
Bethune-Cookman,1529,120,9
Bethune-Cookman,1530,120,10
Bethune-Cookman,1531,120,11
Bethune-Cookman,1532,120,12
Bethune-Cookman,1533,120,13
Bethune-Cookman,1534,120,14
Bethune-Cookman,1535,120,15
Bethune-Cookman,1536,120,16
Bethune-Cookman,1537,120,17
Bethune-Cookman,1538,120,18
Bethune-Cookman,1539,120,19
Boise State,1540,12,0
Boise State,1541,12,1
Boise State,1542,12,2
Boise State,1543,12,3
Boise State,1544,12,4
Boise State,1545,12,5
Boise State,1546,12,6
Boise State,1547,12,7
Boise State,1548,12,8
Boise State,1549,12,9
Boise State,1550,12,10
Boise State,1551,12,11
Boise State,1552,12,12
